airport_id,name,city,country,IATA,ICAO,latitude,longitude,altitude,timezone,DST,Tz_database_time_zone	,type,source,google_airport_name,google_place_id,google_airport_full_address,airport_rating,number_ratings,website
3095,Hissar Airport,Hissar,India,HSS,VIHR,29.179399490356445,75.75530242919922,700,5.5,N,Asia/Calcutta,airport,OurAirports,Hisar Airport,ChIJk_MTZXwzEjkRS-AMS9QBl28,"Hisar Airport, Kumharia Rd, Police Line Hissar, Khara Kheri, Haryana 125001, India",4.4,82,not found
3096,Jhansi Airport,Jhansi,India,\N,VIJN,25.491199493408203,78.55840301513672,801,5.5,N,Asia/Calcutta,airport,OurAirports,Aero-dome,ChIJNylKQVFxdzkR1-rh6XBmkBs,"Aero-dome, Rasra, Jhansi, Uttar Pradesh 284002, India",4.1,19,not found
3097,Jodhpur Airport,Jodhpur,India,JDH,VIJO,26.25110054016113,73.04889678955078,717,5.5,N,Asia/Calcutta,airport,OurAirports,Jodhpur Airport,ChIJX4PNJGCMQTkRbAsGBSLDWag,"Jodhpur Airport, Civil Airport Road, Air Force Area, Ratanada, Jodhpur, Rajasthan 342011, India",4,278,not found
3098,Jaipur International Airport,Jaipur,India,JAI,VIJP,26.8242,75.812202,1263,5.5,N,Asia/Calcutta,airport,OurAirports,Jaipur International Airport,ChIJGXfwUfizbTkRIcHXzAUkPMA,"Jaipur International Airport, Airport Rd, Sanganer, Jaipur, Rajasthan 302017, India",4.1,2873,https://www.aai.aero/en/airports/jaipur
3099,Jaisalmer Airport,Jaisalmer,India,JSA,VIJR,26.88870048522949,70.86499786376953,751,5.5,N,Asia/Calcutta,airport,OurAirports,Jaisalmer Airport,ChIJEVBSR9y-RzkRncWPVz6PYRA,"Jaisalmer Airport, Air Force School Rd, Shastri Nagar, Jaisalmer, Rajasthan 345001, India",4.1,135,not found
3100,Jammu Airport,Jammu,India,IXJ,VIJU,32.6890983582,74.83740234380002,1029,5.5,N,Asia/Calcutta,airport,OurAirports,Jammu Airport,ChIJy-8hVc2EHjkRSAN9tcdhvgM,"Jammu Airport, Jammu 180003",3.7,683,not found
3101,Kanpur Civil Airport,Kanpur,India,\N,VIKA,26.441401000000006,80.364899,411,5.5,N,Asia/Calcutta,airport,OurAirports,Kanpur Civil Airport,ChIJX_BjYTNHnDkRJHbjemK1Ydk,"Kanpur Civil Airport, Kanpur Cantonment, Kanpur, Uttar Pradesh 208004, India",3.1,47,not found
3102,Kota Airport,Kota,India,KTU,VIKO,25.160200119000002,75.84559631350001,896,5.5,N,Asia/Calcutta,airport,OurAirports,Kota Airport,ChIJVy5d2tOEbzkRS--RcGFc8XQ,"Kota Airport, Jhalawar Road, Kota Airport Area, Gumanpura, Kota, Rajasthan 324007, India",3,434,https://www.aai.aero/
3103,Ludhiana Airport,Ludhiaha,India,LUH,VILD,30.854700088500977,75.95259857177734,834,5.5,N,Asia/Calcutta,airport,OurAirports,Ludhiana Airport,ChIJXcht8aiDGjkRCOdeuZG-gU0,"Ludhiana Airport (LUH), Sahnewal, Punjab 141014, India",3.5,229,not found
3104,Leh Kushok Bakula Rimpochee Airport,Leh,India,IXL,VILH,34.135898590100005,77.5465011597,10682,5.5,N,Asia/Calcutta,airport,OurAirports,Kushok Bakula Rimpochee Airport,ChIJJ7AKoViT_TgRBExmvIXBXT4,"Kushok Bakula Rimpochee Airport, Leh 194104",4.2,387,not found
