index,airport_id,name,city,country,IATA,ICAO,latitude,longitude,altitude,DST,Tz_database_time_zone	,type,source,google_airport_name,google_place_id,google_airport_full_address,airport_rating,number_ratings,website,total_routes
1464,4153,Lien Khuong Airport,Dalat,Vietnam,DLI,VVDL,11.75,108.366997,3156,U,Asia/Saigon,airport,OurAirports,Lien Khuong Airport,ChIJN9bgmiRBcTER-NSAl8RuQWE,"Lien Khuong Airport, QL20, Tp. Đà Lạt, Lâm Đồng, Vietnam",3.9,446,http://lienkhuongairport.vn/,5
1465,4154,Dong Hoi Airport,Dong Hoi,Vietnam,VDH,VVDH,17.515,106.590556,59,U,Asia/Saigon,airport,OurAirports,Dong Hoi Airport,ChIJma1LUXdXRzERHMDZSecbuAI,"Dong Hoi Airport (VDH), QL 1A, Đồng Hới, Quảng Bình, Vietnam",3.7,227,not found,2
1466,4156,Cà Mau Airport,Ca Mau,Vietnam,CAH,VVCM,9.177667,105.177778,6,U,Asia/Saigon,airport,OurAirports,Ca Mau Airport,ChIJgw0n6FVIoTER3Pykv3cmm-Q,"Ca Mau Airport (CAH), 93 Lý Thường Kiệt, Phường 6, Thành phố Cà Mau, Cà Mau, Vietnam",3.9,112,http://camauairport.vn/,1
1467,4157,Chu Lai International Airport,Chu Lai,Vietnam,VCL,VVCA,15.4033002853,108.706001282,10,U,Asia/Saigon,airport,OurAirports,Chu Lai International Airport,ChIJi1nimWfJaTERxllk4cY54Bs,"Chu Lai International Airport, Tam Nghĩa, Núi Thành, Quảng Nam, Vietnam",3.8,235,https://vietnamairport.vn/chulaiairport,2
1468,4158,Dong Tac Airport,Tuy Hoa,Vietnam,TBB,VVTH,13.0495996475,109.333999634,20,U,Asia/Saigon,airport,OurAirports,Tuy Hoa Airport,ChIJb-bgQ17ubzERE8qhfG7YtHA,"Tuy Hoa Airport, tp. Tuy Hòa, Phú Yên, Vietnam",4.1,154,https://vietnamairport.vn/tuyhoaairport,2
1469,4159,Mae Hong Son Airport,Pai,Thailand,PYY,VTCI,19.3719997406,98.43699646,1271,U,Asia/Bangkok,airport,OurAirports,Mae Hong Son Airport,ChIJY1EJgQmm2jARaQwbHHZzaDI,"Mae Hong Son Airport (HGN), Khunlumprapas Chong Kham, Amphoe Mueang Mae Hong Son, Chang Wat Mae Hong Son 58000, Thailand",4.2,62,http://minisite.airports.go.th/maehongson/,1
1470,4161,Yaoundé Nsimalen International Airport,Yaounde,Cameroon,NSI,FKYS,3.722559928894043,11.553299903869627,2278,N,Africa/Douala,airport,OurAirports,Yaounde Airport,ChIJBc2LEbnZixARMXb4xq8n4kU,"Yaounde Airport, Yaounde, Cameroon",3.6,193,http://www.adcsa.aero/index.php?id=13,17
1471,4162,Conakry International Airport,Conakry,Guinea,CKY,GUCY,9.576889999999999,-13.612,72,N,Africa/Conakry,airport,OurAirports,Conakry Gbessia International Airport,ChIJye_XTEjUHA8RjN5VI7-WvF0,"Conakry Gbessia International Airport, N1, Conakry, Guinea",3.7,317,http://www.aeroportdeconakry.com/,18
1472,4166,Karlsruhe Baden-Baden Airport,Karlsruhe/Baden-Baden,Germany,FKB,EDSB,48.7793998718,8.08049964905,408,E,Europe/Berlin,airport,OurAirports,Flughafen Karlsruhe / Baden-baden,ChIJj3kPlOvglkcRdFjSYn03Y-U,"Flughafen Karlsruhe / Baden-baden, Flughafen Karlsruhe / Baden-Baden, Victoria Boulevard 106A, 77836 Rheinmünster, Germany",3.6,849,https://www.baden-airpark.de/,20
1473,4167,Orlando Sanford International Airport,Sanford,United States,SFB,KSFB,28.7775993347168,-81.23750305175781,55,A,America/New_York,airport,OurAirports,Orlando Sanford International Airport,ChIJ5d7ffVJr54gRRbL4HmpQb5M,"Orlando Sanford International Airport (SFB), 1200 Red Cleveland Blvd, Sanford, FL 32773, USA",3.6,808,http://www.orlandosanfordairport.com/,49
